jobFamily,softSkill,priority,minScore,isRequired,weight,targetScore,description,createdAt,updatedAt
Product Manager / UX,Creatività e Innovazione,4,2,False,0.15,3,Sviluppare nuove funzionalità e UX efficaci.,2025-10-03 22:25:28,2025-10-03 22:25:28
Sales / Account,Orientamento ai Risultati,1,3,True,0.3,5,Raggiungere obiettivi di vendita.,2025-10-03 22:25:28,2025-10-03 22:25:28
Sales / Account,Empatia e Ascolto Attivo,2,3,True,0.25,4,Comprendere bisogni del cliente.,2025-10-03 22:25:28,2025-10-03 22:25:28
Sales / Account,Comunicazione Efficace,3,3,True,0.25,4,Negoziare e convincere clienti.,2025-10-03 22:25:28,2025-10-03 22:25:28
Sales / Account,Resilienza e Gestione dello Stress,4,2,True,0.2,3,Gestire rifiuti e pressione sugli obiettivi.,2025-10-03 22:25:28,2025-10-03 22:25:28
HR / Support Functions,Empatia e Ascolto Attivo,1,3,True,0.25,4,Supportare e comprendere le persone.,2025-10-03 22:25:28,2025-10-03 22:25:28
HR / Support Functions,Comunicazione Efficace,2,3,True,0.25,4,Comunicare policy HR in modo chiaro.,2025-10-03 22:25:28,2025-10-03 22:25:28
HR / Support Functions,Gestione del Tempo e delle Priorità,3,3,True,0.2,4,Gestire pratiche e scadenze amministrative.,2025-10-03 22:25:28,2025-10-03 22:25:28
HR / Support Functions,Adattabilità e Flessibilità,4,2,True,0.2,3,Adattarsi a normative o esigenze aziendali.,2025-10-03 22:25:28,2025-10-03 22:25:28
Data & Analytics,Problem Solving Analitico,1,3,True,0.3,5,Interpretare dati complessi per insight chiari.,2025-10-03 22:25:28,2025-10-03 22:25:28
Data & Analytics,Creatività e Innovazione,2,2,False,0.2,3,Proporre approcci innovativi all'analisi.,2025-10-03 22:25:28,2025-10-03 22:25:28
Data & Analytics,Orientamento ai Risultati,3,3,True,0.25,4,Trasformare analisi in azioni concrete.,2025-10-03 22:25:28,2025-10-03 22:25:28
Data & Analytics,Capacità Decisionale,4,2,True,0.25,4,Scegliere metodi analitici corretti.,2025-10-03 22:25:28,2025-10-03 22:25:28
Finance / Legal / Admin,Capacità Decisionale,1,3,True,0.25,4,Prendere decisioni in linea con le normative.,2025-10-03 22:25:28,2025-10-03 22:25:28
Finance / Legal / Admin,Gestione del Tempo e delle Priorità,2,3,True,0.25,4,Rispettare scadenze fiscali e legali.,2025-10-03 22:25:28,2025-10-03 22:25:28
Finance / Legal / Admin,Resilienza e Gestione dello Stress,3,2,True,0.2,3,Gestire picchi di lavoro e scadenze.,2025-10-03 22:25:28,2025-10-03 22:25:28
Finance / Legal / Admin,Orientamento ai Risultati,4,3,True,0.2,4,Supportare il business con efficienza.,2025-10-03 22:25:28,2025-10-03 22:25:28
